,video_id,t1,t2,t3,t4,t5,t6,t7
0,C12D0TtKqVs,,,,,,,0.997874
1,Vd-SsCiO-g0,,,,,,,0.99869215
2,wdt9hrwiaJs,,,,,,,0.99503344
3,zONg2dp0rss,,,,,,0.40302393,0.5951461
4,qBWnmy_F5N0,,,,,,,0.9962136
5,O_sEDx9BAnM,,0.20885946,,,,,0.789048
6,z0mqs4D_dSQ,,0.38074276,,,,0.35352868,0.26432258
7,sn5S30IgkC0,,,,,,,0.99744964
8,gQz3rAAlWhs,,,,,,,0.99780893
9,dAsZVQvjCt8,,,,,,,0.99707717
10,KMQBtn4Mfr4,,0.5548319,,,,0.038391236,0.4042893
11,Tbh_E_7T3Us,,0.44948655,,,,,0.5487461
12,dwajGEtx2-Q,,,,,,,0.99096066
13,dN3qPU3B0M8,,,,,,,0.99843836
14,68tccenhJbw,,,,,,,0.9890395
15,66xwDFppGxc,,0.21413265,,,,,0.7834246
16,okERIOvpbkk,,0.41377345,,,,0.19250177,0.39252517
17,zy2uC4ihn7M,,,,,,,0.9990055
18,agyrZClPaTs,,,,,,,0.9988802
19,t6quQ4-nZP0,,0.5498455,,,,,0.44662732
20,KmVG1Yx1kwQ,,,,,,,0.99875826
21,v5q1hGHY3gY,,0.078791894,,,,,0.91976213
22,tPvvzfrq0hY,,0.19550909,,,,0.26680177,0.5351344
23,eDuk81j_dp8,,,,,,,0.99782
24,t1VIHS9068Y,,,,,,,0.9846722
25,CNcxash4ydU,,,,,,,0.99808025
26,Yd-GZgFFtD4,,0.3138014,,,,0.26620162,0.41867754
27,KYVcJGXAGMk,,0.043819264,,,,0.06069814,0.89496243
28,RbVQEVXYNdw,,0.108337395,,,,0.34750575,0.5430769
29,QtxLPB_YGoQ,,0.5576911,,,,,0.44086525
30,ZlwX_OqZb3Y,,0.40035507,,,,0.092702866,0.5040946
31,7xVZaKuCFP0,,,,,,,0.99678266
32,oTF-DrG9hBU,,,,,,,0.9977921
33,t-rdtvv8qYo,,0.08325308,,,,,0.9152535
34,AtcgkSVLs5A,,,,,,,0.99870867
35,h6Me7UNiRHI,,0.03042508,,,,0.19325349,0.7744142
36,iol4iBhGcSE,,,,,,,0.99854714
37,YhoQ1F_LfMo,,,,,,0.033513546,0.9640933
38,bi9VKNOiOAA,,0.38603282,,,,,0.61095965
39,Oy_ogs6oB5s,,0.20821859,,,,,0.78564805
40,li5gN4XElwU,,0.1770539,0.023274446,,,0.47226286,0.32579023
41,xI8HdFC7-Q4,,0.5304376,,,,,0.46735317
42,e6SABxHxkSg,,0.061694838,0.019769888,,,,0.9161302
43,FE_2VyM3vCQ,,,,,,,0.9953319
44,-NpNrKqdof0,,0.10367661,,,,0.06592909,0.8287017
45,HQ4166IiROA,,0.19324088,,,,0.17019767,0.6300077
46,I1rT5LRzV1k,,0.4390751,,,,0.19236198,0.3673239
47,VStI2gBCuik,,,,,,,0.9892696
48,yWsnqoCYtv4,,,,,,0.086655214,0.9119871
49,7fARghKGQGI,,0.5309326,,,,0.119612165,0.34724352
50,nKIrVniyF2g,,,,,,,0.99863
51,z80nr7q5BtU,,0.47798744,,,,0.10875359,0.4122617
52,2c_vfYYWG7s,,,,,,,0.9969224
53,Ky-QfI045pw,,0.15276097,,,,0.11331347,0.7301583
54,1iQaIY9J0AM,,0.2968769,,,,0.290275,0.4095032
55,fvO4aDOMdIA,,,,,,,0.99810517
56,VK7lL3E2LVc,,0.13670693,,,,0.046675347,0.81455046
57,ysgJ17hh_FA,,,0.088612705,,,,0.9072708
58,j-fAg_Mmsfo,,,0.07473069,,,,0.9203644
59,nvdFusjqdqs,,0.040253926,,,,0.021172537,0.9374731
60,Y6zxZVzAPCk,,0.5893847,,,,0.025854677,0.38313478
61,d22yUrE19B8,,,,,,,0.997283
62,H5ebd1LxrPM,,0.08211189,,,,0.25632,0.6603487
63,E1RSyhastWc,,,,,,,0.995546
64,vWkxPkTUsA0,,0.021532454,0.2860775,,,,0.6896265
65,TqCV2KSJB6g,,0.5673142,,,,,0.43003547
66,M2aZ617GRis,,0.26187822,,,,0.1070582,0.6290342
67,C3IkU5R6KUM,,,,,,,0.9972735
68,vO3isPIaBLM,,,,,,0.20575847,0.7887658
69,ahr5vMFp2KA,,,,,,,0.99104553
70,8i4nLYrgEys,,,,,,0.2554838,0.7421614
71,AELAfOP6kjA,,,,,,,0.99816865
72,RLndtQFPadw,,0.12889178,,,,,0.8700174
73,f7gUEoWt3Ho,,0.08478628,,,,0.19947477,0.7140245
74,sbDjdOadiTE,,0.58168143,,,,,0.4163998
75,3TFuD3XhUTE,,,,,,,0.9910458
76,WqNL9IbcrfU,,,,,,,0.9976201
77,EaHyrvB48v0,,0.038807455,,,,,0.9602386
78,O_7QNdW4yPQ,,,,,,,0.99864614
79,z3j2-Kcccbo,,,,,,,0.9979663
80,XeVTqIhtJGs,,0.052064918,,,,,0.94596404
81,Gs-Dd2HO4aw,,0.38788557,,,,0.044132207,0.5666987
82,r_TEwCM7Ybs,,0.354078,,,,0.041865483,0.60223347
83,qXAUnTYpnZc,,,,,,,0.99657756
84,oAsNo7ZcQks,,,,,,0.074383475,0.92359483
85,3eg48h_yEFk,,,,,,,0.9976598
86,_r-4PDc5SxE,,0.36745057,,,,0.043150127,0.588317
87,9KmehkgMH-Y,,0.26584736,,,,0.106940776,0.62585956
88,bru54c8hcoQ,,,,,,,0.9978997
89,V0n7uGIUuq0,,0.4483018,,,,,0.5489461
90,QuV3oh5-RnU,,0.4779898,,,,0.10874913,0.4122638
91,cEXghzQMHeY,,0.46879372,,,,,0.52900326
92,Rx-W58G2-Ew,,0.14441378,,,,,0.85381925
93,Etc5gJUe8IY,,0.52985966,,,,0.08308638,0.38321313
94,5QkrFDOeS_A,,0.30580097,,,,,0.69154805
95,HdwFIr4Of6I,,,,,,,0.9982962
96,jcFVeGiEGjY,,,,,,,0.99397284
97,mirbktBdSGM,,0.010409436,0.033561755,,,,0.9553695
98,79r5rxS276Y,,0.27754295,,,,,0.7211604
99,Dq-bg7uXcYo,,0.35794592,,,,0.26730365,0.37338343
100,fZuHO2cdX38,0.011848192,0.40998888,,,,0.1917893,0.3855169
101,GaQHL2D5SGY,,,,,,,0.99152344
102,W_bjfEuh458,,0.61421543,,,,,0.38242558
103,egnUx8QEQnc,,,,,,,0.99857587
104,YtC1BsoADPE,,0.10196022,,,,0.3680586,0.52792054
105,f9LyPv-cVH0,,,,,,,0.99503344
106,phLqfG4EGCg,,,0.08348868,,,,0.914589
107,0TAnGjT6_N0,,0.12478057,,,,0.07031184,0.8034736
108,PNsHpGvOElo,,,,,,,0.99712694
109,w9MatFapyik,,0.08511632,,,,0.23729342,0.6747139
110,AB78GlbbghE,,,,,,,0.9984248
111,pfxS2Z8PAUQ,,0.2342346,,,,0.19979808,0.56525314
112,z1aW8zX3FVE,,,,,,0.030573636,0.96798927
113,06dYzoOiSpc,,,,,,0.3028057,0.69391745
114,76RFU1Pifeo,,0.13323435,,,,0.49506935,0.36963156
115,2BS0pClYYho,,0.24077098,,,,0.27233672,0.48495936
116,XKD2WzAscW8,,,,,,,0.99846333
117,rwgR4hjc6bo,,0.28851017,,,,,0.7029611
118,n68s9I28AvY,,0.19654769,,,,0.09783029,0.7033408
119,W8jjh-ywM6M,,,0.093046635,,,,0.9033724
120,UAyFOIilwXY,,,,,,,0.9865253
121,YMpH7UU4t-w,,,,,,,0.99890304
122,9hgFPmR_pO0,,0.6042668,,,,0.04709358,0.34723756
123,QgFd_w2n1es,,0.36632487,,,,0.2366192,0.3962191
124,V3D2HiM1xmk,,,,,,0.06370553,0.93446827
125,2lK0ySxQyrs,,0.59139806,,,,0.0147792315,0.39270538
126,30efBR39uGs,,0.5852865,,,,0.0129355,0.40074882
127,-q2naqHKjRY,,,,,,,0.99672216
128,jR_oP_9Pisw,,0.28576598,,,,0.08289914,0.6294597
129,78kT8vlG1bg,,,,,,,0.998527
130,rAPcUw7DEOY,,,,,,0.54661065,0.4495819
131,lO2AzH4rMVI,,,,,,,0.99890196
132,vT5uMUzKL4k,,,,,,,0.997347
133,_2nvC-okZo8,,,0.048728473,,,,0.94831395
134,G7ubgsGwC-M,,,,,,,0.99637544
135,mKJez_mvokE,,0.3637455,,,,0.02691857,0.60701996
136,cJc0vllEkp4,,0.3222182,,,,0.16105126,0.51518035
137,Yq0XEzIBLDA,,,,,,,0.9971453
138,vjgzABUT7AM,,,,,,,0.9969969
139,C9FQfJR278c,,0.50585014,,,,,0.49307173
140,2PkriBLEkC8,,,,,,,0.9973568
141,YuMDcygWIBM,,,,,,,0.99795514
142,lAj0SeD23A4,,,,,,,0.9915833
143,7LZgt3N1f2o,,,,,,,0.997155
144,eS1vQ8JtbdM,,0.23431632,,,,0.17070505,0.5939228
145,7S3s7NCVzDQ,,,,,,0.22386764,0.7695347
146,EjSCo4IztVA,,0.15392877,,,,0.4121353,0.43247253
147,di6f0UAbxk0,,,,,,,0.99791074
148,METsHUyaXGE,,,,,,,0.99824786
149,DWWsy4GIifg,,0.026802098,,,,0.032633033,0.938207
150,e55VrtDw1oA,,,,,,0.38711214,0.6097778
151,aKSEz8E-ebs,,,,,,,0.9960095
152,gFLf1Cbckl4,,0.16507672,,,,0.23309505,0.60081387
153,QJOiXscjTus,,,,,,,0.9865109
154,wHQwGAEfWMM,,0.45991948,,,,0.11614631,0.42286232
155,pC_PC0Wopgo,,0.4380695,,,,,0.5599805
156,evTTu_Vg0lg,,,,,,,0.9970876
157,YnmDlUO3Sgs,,0.333418,,,,,0.66218936
158,rIjVAdPSOtY,,0.24876468,,,,0.2863077,0.46313405
159,XgcFd3gJn7w,,0.67915905,,,,,0.31802243
160,iBRU8Y2emRg,,0.23217712,,,,0.18057309,0.58624035
161,otlpeZqIsbU,,,,,,,0.9910622
162,X2ZpKfriQ_8,,,0.040103648,,,,0.958373
163,_geRAG7NvRE,,0.45290944,,,,0.057604875,0.48842198
164,VvQ4-Ay_lHA,,0.58168155,,,,,0.41639978
165,33_XesFphn4,,0.5517321,,,,0.05644417,0.3909419
166,byyBvBQ5CVQ,,,,,,,0.99788165
167,ebPv7zCXhdA,,0.3618319,,,,0.14344236,0.49305752
168,dkvQnwFVwZM,,,,,,,0.9967361
169,kEmBku_f7S8,,0.39831486,,,,,0.5992076
170,c_dBv3SA9jQ,,,,,,,0.9954073
171,l98-VD0xhd8,,0.51544213,,,,,0.48169348
172,lhBGeLPg5Vs,,,,,,,0.99604386
173,ONvAW9z6wRo,,0.018132381,,,,0.21399564,0.767039
174,98OUi3DTjQU,,,,,,,0.99951065
175,tSSnBlyhau4,,0.25439757,,,,0.12078972,0.62381727
176,1VtCwMvS0s8,,,,,,,0.99522686
177,6TcCgaLUkYY,,,,,,,0.9975744
178,-My0ls6Da-c,,0.02874741,,,,,0.9696731
179,4PeK56tDks8,,0.19655073,,,,0.09782652,0.7033416
